,Sensor_Name,Variable,Value,Timestamp,Flagged,Location_WKT,Sensor_Centroid_Longitude,Ground_Height_Above_Sea_Level,Sensor_Centroid_Latitude,Sensor_Height_Above_Ground,Broker_Name,Raw_ID
29,PER_AIRMON_MESH306245,Temperature,13.7,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
30,PER_AIRMON_MESH306245,PM2.5,2.36,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
31,PER_AIRMON_MESH306245,NO,10.99375,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
32,PER_AIRMON_MESH306245,NO2,25.20704,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
33,PER_AIRMON_MESH306245,PM10,6.28,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
34,PER_AIRMON_MESH306245,Pressure,984.7,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
35,PER_AIRMON_MESH306245,O3,11.459,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
36,PER_AIRMON_MESH306245,Particle Count,0.0014,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
37,PER_AIRMON_MESH306245,PM 4,3.22,2025-09-01 00:30:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
38,PER_AIRMON_MESH306245,Particle Count,0.00124,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
39,PER_AIRMON_MESH306245,Pressure,984.5,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
40,PER_PEOPLE_NCLHEBERST_EAST_TO_WEST,Walking,2.0,2025-09-01 00:45:00,False,POINT(-1.623428 54.973557),-1.623428,66.0,54.973557,2.0,People Counting API,80377
41,PER_AIRMON_MESH306245,PM10,6.11,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
42,PER_AIRMON_MESH306245,NO2,25.78984,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
43,PER_AIRMON_MESH306245,PM1,1.34,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
44,PER_AIRMON_MESH306245,NO,9.90625,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
45,PER_AIRMON_MESH306245,PM2.5,2.23,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
46,PER_AIRMON_MESH306245,Temperature,13.7,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
47,PER_AIRMON_MESH306245,O3,11.131,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
48,PER_AIRMON_MESH306245,PM 4,3.05,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
49,PER_AIRMON_MESH306245,Humidity,78.2,2025-09-01 00:45:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
50,PER_NE_CAJT_NCA189_BR3_SJB2,Journey Time,99.0,2025-09-01 00:58:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
51,PER_NE_CAJT_NCA189_BR3_SJB2,Plates In,11.0,2025-09-01 00:58:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
52,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Matching,4.0,2025-09-01 00:58:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
53,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Out,14.0,2025-09-01 00:58:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
54,PER_NE_CAJT_NCA189_SJB2_BR3,Plates In,4.0,2025-09-01 00:58:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
55,PER_NE_CAJT_NCA189_SJB2_BR3,Journey Time,138.0,2025-09-01 00:58:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
56,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Out,3.0,2025-09-01 00:58:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
57,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Matching,0.0,2025-09-01 00:58:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
58,PER_AIRMON_MESH306245,NO,12.34375,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
59,PER_AIRMON_MESH306245,PM1,1.35,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
60,PER_AIRMON_MESH306245,PM10,6.43,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
61,PER_AIRMON_MESH306245,PM2.5,2.29,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
62,PER_AIRMON_MESH306245,PM 4,3.27,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
63,PER_PEOPLE_NCLHEBERST_WEST_TO_EAST,Walking,2.0,2025-09-01 01:00:00,False,POINT(-1.623428 54.973557),-1.623428,66.0,54.973557,2.0,People Counting API,80379
64,PER_AIRMON_MESH306245,Pressure,984.3,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
65,PER_AIRMON_MESH306245,Temperature,13.7,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
66,PER_AIRMON_MESH306245,Humidity,78.2,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
67,PER_AIRMON_MESH306245,Particle Count,0.00129,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
68,PER_AIRMON_MESH306245,O3,11.125,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
69,PER_AIRMON_MESH306245,NO2,25.54544,2025-09-01 01:00:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
70,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Matching,1.0,2025-09-01 01:02:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
71,PER_NE_CAJT_NCA189_BR3_SJB2,Plates In,9.0,2025-09-01 01:02:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
72,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Out,2.0,2025-09-01 01:02:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
73,PER_NE_CAJT_NCA189_BR3_SJB2,Journey Time,99.0,2025-09-01 01:02:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
74,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Out,8.0,2025-09-01 01:02:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
75,PER_NE_CAJT_NCA189_SJB2_BR3,Plates In,3.0,2025-09-01 01:02:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
76,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Matching,0.0,2025-09-01 01:02:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
77,PER_NE_CAJT_NCA189_SJB2_BR3,Journey Time,117.0,2025-09-01 01:02:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
78,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Out,5.0,2025-09-01 01:06:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
79,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Matching,0.0,2025-09-01 01:06:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
80,PER_NE_CAJT_NCA189_SJB2_BR3,Journey Time,96.0,2025-09-01 01:06:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
81,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Out,0.0,2025-09-01 01:06:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
82,PER_NE_CAJT_NCA189_BR3_SJB2,Plates In,8.0,2025-09-01 01:06:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
83,PER_NE_CAJT_NCA189_BR3_SJB2,Journey Time,99.0,2025-09-01 01:06:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
84,PER_NE_CAJT_NCA189_SJB2_BR3,Plates In,2.0,2025-09-01 01:06:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
85,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Matching,0.0,2025-09-01 01:06:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
86,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Out,4.0,2025-09-01 01:10:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
87,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Matching,1.0,2025-09-01 01:10:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
88,PER_NE_CAJT_NCA189_SJB2_BR3,Journey Time,96.0,2025-09-01 01:10:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
89,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Out,7.0,2025-09-01 01:10:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
90,PER_NE_CAJT_NCA189_SJB2_BR3,Plates In,0.0,2025-09-01 01:10:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
91,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Matching,0.0,2025-09-01 01:10:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
92,PER_NE_CAJT_NCA189_BR3_SJB2,Plates In,5.0,2025-09-01 01:10:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
93,PER_NE_CAJT_NCA189_BR3_SJB2,Journey Time,99.0,2025-09-01 01:10:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
94,PER_NE_CAJT_NCA189_BR3_SJB2,Plates In,8.0,2025-09-01 01:14:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
95,PER_NE_CAJT_NCA189_SJB2_BR3,Journey Time,96.0,2025-09-01 01:14:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
96,PER_NE_CAJT_NCA189_SJB2_BR3,Plates In,1.0,2025-09-01 01:14:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
97,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Matching,1.0,2025-09-01 01:14:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
98,PER_NE_CAJT_NCA189_SJB2_BR3,Plates Out,6.0,2025-09-01 01:14:00,False,"LINESTRING(-1.62151252520077 54.9734188344729,-1.63570463447405 54.9812442299792)",-1.62860857983741,75.3300018310547,54.977331532226046,2.0,NE Travel Data API,73173
99,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Out,1.0,2025-09-01 01:14:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
100,PER_NE_CAJT_NCA189_BR3_SJB2,Plates Matching,0.0,2025-09-01 01:14:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
101,PER_NE_CAJT_NCA189_BR3_SJB2,Journey Time,99.0,2025-09-01 01:14:00,False,"LINESTRING(-1.63616906955424 54.9817218898528,-1.62158717134441 54.973787503231)",-1.628878120449325,79.9499969482422,54.9777546965419,2.0,NE Travel Data API,73162
102,PER_AIRMON_MESH306245,Pressure,984.5,2025-09-01 01:15:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
103,PER_AIRMON_MESH306245,PM2.5,2.37,2025-09-01 01:15:00,False,POINT(-1.648605 54.977836),-1.648605,111.389999389648,54.977836,2.0,aq_mesh_api,79521
