,sensor_id,lon,lat
0,232,-1.8799999999999972,55.02000000000001
1,339,-1.6531457664194664,54.95818210006549
2,340,-1.6349818333465427,54.95670480296464
3,341,-1.6532079927927696,54.95820924271635
4,342,-1.6346154571083262,54.95664078415225
5,343,-1.5997526307101972,54.94574783199853
6,344,-1.5976032156016937,54.931982670183494
7,345,-1.5997929425242923,54.94561766296139
8,346,-1.5940341003310101,54.92621943417604
9,347,-1.5941219878076889,54.92601304208969
10,348,-1.5919554543233156,54.92104991420199
11,349,-1.5864013968185866,54.91262445418879
12,350,-1.5803150603520357,54.89504862572439
13,351,-1.5866197067602135,54.91262969165206
14,352,-1.5801043906016272,54.89506138281666
15,353,-1.593006798760898,54.947500216128944
16,354,-1.5930237629341129,54.94736547905124
17,355,-1.5845527456758755,54.936957562475236
18,356,-1.584600261348767,54.93689032727643
19,357,-1.5841777897053932,54.955153002933294
20,358,-1.5840846080286528,54.95510326645246
21,359,-1.5667693925555555,54.95197013346186
22,360,-1.5665593948325744,54.951897488335504
23,361,-1.6156766033885661,54.95381482470476
24,362,-1.6160367154465474,54.95371262063879
25,363,-1.580297425556646,54.990104824702705
26,364,-1.5890684603357055,54.9898840326716
27,365,-1.6628509778747842,54.99740322421336
28,366,-1.6627876939413706,54.997492913498895
29,367,-1.6327238752771622,54.97232052275774
30,368,-1.6328248481313936,54.972383721777234
31,369,-1.650430293085454,54.975082142474605
32,370,-1.6505623777145808,54.9751634035649
33,371,-1.674565807743794,54.980256922243136
34,372,-1.6746042487334671,54.980333409009404
35,374,-1.5790661456430546,55.0011817561041
36,375,-1.5771333027954926,54.987304766319646
37,377,-1.5790480820805763,55.00141533589174
38,379,-1.5772042854219286,54.9872421086583
39,382,-1.5943015916947398,54.97546058820274
40,384,-1.5948228638845108,54.974905213378236
41,392,-1.5947690919327677,54.97481516675833
42,396,-1.6032745562237631,54.982018856622986
43,398,-1.603149200487786,54.982054392212895
44,404,-1.5950286753433105,54.97540015625441
45,408,-1.6189027700707774,55.00323152205429
46,410,-1.6188305900874544,55.003424499896234
47,412,-1.6208282608432698,55.012088946999015
48,413,-1.620701508838482,55.01226378360634
49,414,-1.6224455931934272,55.02302568108775
50,415,-1.6222031471477736,55.02302492970608
51,417,-1.6689808636264467,54.99141700327711
52,419,-1.6689567291706215,54.99150230950569
53,421,-1.6876045484442923,54.99730264991464
54,422,-1.6875959261918532,54.99740596464827
55,434,-1.5540254158295974,54.985945160463494
56,436,-1.5542834600827942,54.985928138396936
57,439,-1.3847852742600368,54.91498420690185
58,440,-1.383674973049609,54.91464609400609
59,441,-1.3884827824972186,54.92631225032661
60,443,-1.3879749813798745,54.92584240145934
61,445,-1.4211578711904178,54.89734660493073
62,447,-1.4448952340984658,54.89188118369535
63,449,-1.4001443338269022,54.90226386884274
64,451,-1.4212528820831971,54.89724823167955
65,453,-1.4000258750933685,54.9023666475196
66,455,-1.4463511672777232,54.892009005711586
67,457,-1.3963419298414577,54.89789131211268
68,459,-1.395213504184083,54.89828565673104
69,461,-1.4124604745839422,54.8890779471956
70,462,-1.411394304932651,54.88948157033609
71,463,-1.4338298886741812,54.875317547164
72,464,-1.433992425894331,54.87539468852101
73,465,-1.3712650177413201,54.887802427253256
74,466,-1.371429838841985,54.887726901452
75,467,-1.405830303652981,54.90533839822525
76,468,-1.4060722029693637,54.9053260870584
